угол: 0; радиус: 80
угол: 1; радиус: 79,0063288604147
угол: 2; радиус: 78,0576709875461
угол: 3; радиус: 78,1024967590665
угол: 4; радиус: 77,1621668954417
угол: 5; радиус: 76,3216876123687
угол: 6; радиус: 76,4198926981712
угол: 7; радиус: 75,538069872085
угол: 8; радиус: 75,6637297521078
угол: 9; радиус: 74,9666592559653
угол: 10; радиус: 74,1484996476665
угол: 11; радиус: 74,3303437365925
угол: 12; радиус: 73,5459040327876
угол: 13; радиус: 73,7563556583431
угол: 14; радиус: 73,24616030892
угол: 15; радиус: 72,5327512231544
угол: 16; радиус: 72,8010988928052
угол: 17; радиус: 72,1248916810278
угол: 18; радиус: 72,4223722339996
угол: 19; радиус: 71,7843994193724
угол: 20; радиус: 71,5122367151245
угол: 21; радиус: 71,8679344353238
угол: 22; радиус: 71,3091859440283
угол: 23; радиус: 71,6937933157397
угол: 24; радиус: 71,175838597097
угол: 25; радиус: 71,5891053163818
угол: 26; радиус: 71,1125867902441
угол: 27; радиус: 71,5541752799933
угол: 28; радиус: 71,1196175467782
угол: 29; радиус: 71,1969100453102
угол: 30; радиус: 71,6937933157397
угол: 31; радиус: 71,3442359269479
угол: 32; радиус: 71,8679344353238
угол: 33; радиус: 71,5611626512594
угол: 34; радиус: 71,2811335487869
угол: 35; радиус: 71,8470597867442
угол: 36; радиус: 71,6100551598726
угол: 37; радиус: 72,2011080247388
угол: 38; радиус: 72,0069441095788
угол: 39; радиус: 72,4706837279738
угол: 40; радиус: 73,109506905737
угол: 41; радиус: 73
угол: 42; радиус: 73,6613874428116
угол: 43; радиус: 73,5934779718964
угол: 44; радиус: 74,2495791233863
угол: 45; радиус: 74,953318805774
угол: 46; радиус: 74,9666592559653
угол: 47; радиус: 75,690157880665
угол: 48; радиус: 75,7429864739964
угол: 49; радиус: 76,5767588763066
угол: 50; радиус: 77,3369252039412
угол: 51; радиус: 77,4661216274573
угол: 52; радиус: 78,4091831356506
угол: 53; радиус: 79,2022726946645
угол: 54; радиус: 79,4040301244213
угол: 55; радиус: 80,4487414444751
угол: 56; радиус: 81,2711510931154
угол: 57; радиус: 81,5414005275848
угол: 58; радиус: 82,6801064343775
угол: 59; радиус: 83,86298349093
угол: 60; радиус: 84,7230783199005
угол: 61; радиус: 85,9592926913664
угол: 62; радиус: 86,3539228987311
угол: 63; радиус: 87,6584280032445
угол: 64; радиус: 86,7640478539355
угол: 65; радиус: 86,3307592923866
угол: 66; радиус: 85,492689745966
угол: 67; радиус: 84,6935652809586
угол: 68; радиус: 84,308955633432
угол: 69; радиус: 83,5703296631047
угол: 70; радиус: 83,2165848854662
угол: 71; радиус: 82,5408989531856
угол: 72; радиус: 82,2192191643779
угол: 73; радиус: 81,6088230524127
угол: 74; радиус: 81,3203541556479
угол: 75; радиус: 80,7774721070176
угол: 76; радиус: 80,5232885567896
угол: 77; радиус: 80,049984384758
угол: 78; радиус: 79,8310716450681
угол: 79; радиус: 79,4292137692424
угол: 80; радиус: 79,2464510246358
угол: 81; радиус: 79,0759128938769
угол: 82; радиус: 78,7718223732319
угол: 83; радиус: 78,63841300535
угол: 84; радиус: 78,4091831356506
угол: 85; радиус: 78,3134726595622
угол: 86; радиус: 78,2304288624318
угол: 87; радиус: 78,1024967590665
угол: 88; радиус: 78,0576709875461
угол: 89; радиус: 78,0256368125246
угол: 90; радиус: 78
угол: 91; радиус: 78,0064099930256
угол: 92; радиус: 78,0576709875461
угол: 93; радиус: 78,1024967590665
угол: 94; радиус: 78,1600921186765
угол: 95; радиус: 78,3134726595622
угол: 96; радиус: 78,4091831356506
угол: 97; радиус: 78,5175139698144
угол: 98; радиус: 78,7718223732319
угол: 99; радиус: 78,9176786277954
угол: 100; радиус: 79,2464510246358
угол: 101; радиус: 79,4292137692424
угол: 102; радиус: 79,6241169495775
угол: 103; радиус: 80,049984384758
угол: 104; радиус: 80,2807573457052
угол: 105; радиус: 80,7774721070176
угол: 106; радиус: 81,0431983574192
угол: 107; радиус: 81,6088230524127
угол: 108; радиус: 81,9084855189009
угол: 109; радиус: 82,5408989531856
угол: 110; радиус: 82,8733974204026
угол: 111; радиус: 83,5703296631047
угол: 112; радиус: 83,9344982709732
угол: 113; радиус: 84,6935652809586
угол: 114; радиус: 85,0881895447306
угол: 115; радиус: 85,9069263796581
угол: 116; радиус: 86,7640478539355
угол: 117; радиус: 87,2066511224918
угол: 118; радиус: 88,1192374002408
угол: 119; радиус: 86,8331733843696
угол: 120; радиус: 85,5862138431184
угол: 121; радиус: 84,380092438916
угол: 122; радиус: 84,05950273467
угол: 123; радиус: 83,2165848854662
угол: 124; радиус: 82,0975030070952
угол: 125; радиус: 81,0246875958186
угол: 126; радиус: 80,802227692063
угол: 127; радиус: 80
угол: 128; радиус: 79,0253124005214
угол: 129; радиус: 78,873316146844
угол: 130; радиус: 78,1024967590665
угол: 131; радиус: 77,2334124585985
угол: 132; радиус: 77,1556867638413
угол: 133; радиус: 76,4198926981712
угол: 134; радиус: 75,6637297521078
угол: 135; радиус: 75,3077021293307
угол: 136; радиус: 74,9666592559653
угол: 137; радиус: 75,0066663703967
угол: 138; радиус: 74,3303437365925
угол: 139; радиус: 73,7563556583431
угол: 140; радиус: 73,8782782690555
угол: 141; радиус: 73,24616030892
угол: 142; радиус: 73,4098086089318
угол: 143; радиус: 72,8010988928052
угол: 144; радиус: 73,0068489937759
угол: 145; радиус: 72,4223722339996
угол: 146; радиус: 72,1110255092798
угол: 147; радиус: 72,4016574395918
угол: 148; радиус: 72,2928073877339
угол: 149; радиус: 72,2011080247388
угол: 150; радиус: 72,5603197346869
угол: 151; радиус: 72,069410986909
угол: 152; радиус: 72,4706837279738
угол: 153; радиус: 72,0069441095788
угол: 154; радиус: 72,4499827467198
угол: 155; радиус: 72,0138875495553
угол: 156; радиус: 72,0902212508742
угол: 157; радиус: 72,6154253585283
угол: 158; радиус: 72,2357252334328
угол: 159; радиус: 72,8010988928052
угол: 160; радиус: 72,4499827467198
угол: 161; радиус: 73,0547739713155
угол: 162; радиус: 72,7323861838727
угол: 163; радиус: 73,0821455623739
угол: 164; радиус: 73,7631344236401
угол: 165; радиус: 73,4982993000518
угол: 166; радиус: 74,2159012611179
угол: 167; радиус: 73,9797269527267
угол: 168; радиус: 74,5251635355468
угол: 169; радиус: 75,3126815350509
угол: 170; радиус: 75,1332150250473
угол: 171; радиус: 75,953933407033
угол: 172; радиус: 75,8023746329889
угол: 173; радиус: 76,5310394545899
угол: 174; радиус: 77,4144689318476
