угол: 0; радиус: 60
угол: 1; радиус: 60,00833275471
угол: 2; радиус: 60,0333240792145
угол: 3; радиус: 60,0749531835024
угол: 4; радиус: 60,1331855134916
угол: 5; радиус: 60,2079728939615
угол: 6; радиус: 60,2992537267253
угол: 7; радиус: 60,4069532421558
угол: 8; радиус: 60,5309838016862
угол: 9; радиус: 60,6712452484701
угол: 10; радиус: 61
угол: 11; радиус: 61,1882341631134
угол: 12; радиус: 61,3921819126833
угол: 13; радиус: 61,6116872029975
угол: 14; радиус: 61,8465843842649
угол: 15; радиус: 62,0966987850401
угол: 16; радиус: 62,3618473106755
угол: 17; радиус: 62,6418390534633
угол: 18; радиус: 62,9364759102383
угол: 19; радиус: 63,5688603012513
угол: 20; радиус: 63,9061812346818
угол: 21; радиус: 64,2572953056694
угол: 22; радиус: 64,621977685614
угол: 23; радиус: 65
угол: 24; радиус: 65,7951365983839
угол: 25; радиус: 66,2117814289874
угол: 26; радиус: 66,6408283261845
угол: 27; радиус: 67,0820393249937
угол: 28; радиус: 68
угол: 29; радиус: 68,47627326308
угол: 30; радиус: 68,9637585982667
угол: 31; радиус: 69,9714227381436
угол: 32; радиус: 70,4911341943084
угол: 33; радиус: 71,5611626512594
угол: 34; радиус: 72,1110255092798
угол: 35; радиус: 73,2393336944022
угол: 36; радиус: 73,8173421358423
угол: 37; радиус: 75
угол: 38; радиус: 76,2167960491649
угол: 39; радиус: 76,8374908491942
угол: 40; радиус: 78,1024967590665
угол: 41; радиус: 79,3977329651168
угол: 42; радиус: 80,7217442824423
угол: 43; радиус: 81,3941029804985
угол: 44; радиус: 82,7586853448023
угол: 45; радиус: 84,1486779456457
угол: 46; радиус: 86,278618440492
угол: 47; радиус: 87,7268487978452
угол: 48; радиус: 87,783825389419
угол: 49; радиус: 86,4522989862039
угол: 50; радиус: 85,146931829632
угол: 51; радиус: 83,868945385047
угол: 52; радиус: 82,6196102629394
угол: 53; радиус: 81,4002456998749
угол: 54; радиус: 80,802227692063
угол: 55; радиус: 79,6303962064738
угол: 56; радиус: 78,4920378127616
угол: 57; радиус: 77,9358710735949
угол: 58; радиус: 76,8505042273634
угол: 59; радиус: 75,8023746329889
угол: 60; радиус: 75,2927619363243
угол: 61; радиус: 74,3034319530397
угол: 62; радиус: 73,824115301167
угол: 63; радиус: 72,8971878744304
угол: 64; радиус: 72,4499827467198
угол: 65; радиус: 72,0138875495553
угол: 66; радиус: 71,175838597097
угол: 67; радиус: 70,774289116882
угол: 68; радиус: 70,0071424927486
угол: 69; радиус: 69,6419413859206
угол: 70; радиус: 69,28924880528
угол: 71; радиус: 68,9492567037528
угол: 72; радиус: 68,3081254317523
угол: 73; радиус: 68,0073525436772
угол: 74; радиус: 67,7200118133481
угол: 75; радиус: 67,446274915669
угол: 76; радиус: 66,9402718847182
угол: 77; радиус: 66,7083203206317
угол: 78; радиус: 66,4906008395172
угол: 79; радиус: 66,2872536767062
угол: 80; радиус: 66,098411478643
угол: 81; радиус: 65,7647321898295
угол: 82; радиус: 65,6201188660917
угол: 83; радиус: 65,4904573201318
угол: 84; радиус: 65,3758365147246
угол: 85; радиус: 65,2763356814704
угол: 86; радиус: 65,1920240520265
угол: 87; радиус: 65,0691939399898
угол: 88; радиус: 65,0307619515564
угол: 89; радиус: 65,00769185258
угол: 90; радиус: 65
угол: 91; радиус: 65,00769185258
угол: 92; радиус: 65,0307619515564
угол: 93; радиус: 65,0691939399898
угол: 94; радиус: 65,1229606206597
угол: 95; радиус: 65,2763356814704
угол: 96; радиус: 65,3758365147246
угол: 97; радиус: 65,4904573201318
угол: 98; радиус: 65,6201188660917
угол: 99; радиус: 65,7647321898295
угол: 100; радиус: 65,924198895398
угол: 101; радиус: 66,2872536767062
угол: 102; радиус: 66,4906008395172
угол: 103; радиус: 66,7083203206317
угол: 104; радиус: 66,9402718847182
угол: 105; радиус: 67,1863081289633
угол: 106; радиус: 67,7200118133481
угол: 107; радиус: 68,0073525436772
угол: 108; радиус: 68,3081254317523
угол: 109; радиус: 68,6221538571911
угол: 110; радиус: 69,28924880528
угол: 111; радиус: 69,6419413859206
угол: 112; радиус: 70,0071424927486
угол: 113; радиус: 70,3846574190711
угол: 114; радиус: 71,175838597097
угол: 115; радиус: 71,5891053163818
угол: 116; радиус: 72,4499827467198
угол: 117; радиус: 72,8971878744304
угол: 118; радиус: 73,3552997403732
угол: 119; радиус: 74,3034319530397
угол: 120; радиус: 74,7930478052606
угол: 121; радиус: 75,8023746329889
угол: 122; радиус: 76,3216876123687
