угол: 0; радиус: 78
угол: 1; радиус: 79,0063288604147
угол: 2; радиус: 78,0576709875461
угол: 3; радиус: 77,1038261048049
угол: 4; радиус: 76,1642960973185
угол: 5; радиус: 76,2364742101837
угол: 6; радиус: 74,4311762637136
угол: 7; радиус: 74,5452882481515
угол: 8; радиус: 73,6817480791546
угол: 9; радиус: 72,8354309385206
угол: 10; радиус: 72,0069441095788
угол: 11; радиус: 71,386273190299
угол: 12; радиус: 70,6116137756389
угол: 13; радиус: 70,8307842678591
угол: 14; радиус: 70,0927956355002
угол: 15; радиус: 69,3757882838098
угол: 16; радиус: 69,6419413859206
угол: 17; радиус: 68,9637585982667
угол: 18; радиус: 68,3081254317523
угол: 19; радиус: 68,6221538571911
угол: 20; радиус: 68,0073525436772
угол: 21; радиус: 67,4166151627327
угол: 22; радиус: 67,7790528113222
угол: 23; радиус: 67,2309452558864
угол: 24; радиус: 66,7083203206317
угол: 25; радиус: 67,1192967781993
угол: 26; радиус: 66,6408283261845
угол: 27; радиус: 66,1891229734916
угол: 28; радиус: 65,7647321898295
угол: 29; радиус: 66,2419806467168
угол: 30; радиус: 65,8634952003004
угол: 31; радиус: 65,5133574166368
угол: 32; радиус: 66,0378679243962
угол: 33; радиус: 65,7343137181792
угол: 34; радиус: 65,4599113962126
угол: 35; радиус: 66,0302960768767
угол: 36; радиус: 65,8027355054484
угол: 37; радиус: 65,7000761034567
угол: 38; радиус: 65,6048778674269
угол: 39; радиус: 66,0681466366357
угол: 40; радиус: 66,0037877700969
угол: 41; радиус: 65,9469483751902
угол: 42; радиус: 66,2287701833576
угол: 43; радиус: 66,5281895139196
угол: 44; радиус: 66,4830805543786
угол: 45; радиус: 66,8225261420129
угол: 46; радиус: 67,1788657242737
угол: 47; радиус: 67,2086303981862
угол: 48; радиус: 67,2681202353686
угол: 49; радиус: 68,0147042925278
угол: 50; радиус: 68,1175454637056
угол: 51; радиус: 68,2495421230062
угол: 52; радиус: 68,7186292063513
угол: 53; радиус: 69,2026011071838
угол: 54; радиус: 69,4046107978425
угол: 55; радиус: 70,4556598152341
угол: 56; радиус: 70,5868259663232
угол: 57; радиус: 70,7248188403477
угол: 58; радиус: 71,8679344353238
угол: 59; радиус: 72,2011080247388
угол: 60; радиус: 73,0616178304313
угол: 61; радиус: 73,4302390027433
угол: 62; радиус: 73,824115301167
угол: 63; радиус: 75,1332150250473
угол: 64; радиус: 75,5843899227876
угол: 65; радиус: 76,0591874792257
угол: 66; радиус: 77,4725757929863
угол: 67; радиус: 78
угол: 68; радиус: 78,9240140895026
угол: 69; радиус: 79,4795571200545
угол: 70; радиус: 80,0562302385017
угол: 71; радиус: 81,5965685553014
угол: 72; радиус: 80,0062497558784
угол: 73; радиус: 79,4040301244213
угол: 74; радиус: 78,1600921186765
угол: 75; радиус: 77,6208734813001
угол: 76; радиус: 76,4002617796562
угол: 77; радиус: 75,9275970909129
угол: 78; радиус: 74,7328575661335
угол: 79; радиус: 74,3303437365925
угол: 80; радиус: 73,1641988953614
угол: 81; радиус: 72,9931503635786
угол: 82; радиус: 71,7007670809734
угол: 83; радиус: 71,5681493403316
угол: 84; радиус: 70,3491293478462
угол: 85; радиус: 70,2566722810012
угол: 86; радиус: 70,178344238091
угол: 87; радиус: 69,1158447825099
угол: 88; радиус: 69,065186599328
угол: 89; радиус: 68,0073525436772
угол: 90; радиус: 68
угол: 91; радиус: 68,0073525436772
угол: 92; радиус: 67,0298440994756
угол: 93; радиус: 67,0671305484289
угол: 94; радиус: 66,1891229734916
угол: 95; радиус: 66,2721661031236
угол: 96; радиус: 66,3701740241805
угол: 97; радиус: 65,4904573201318
угол: 98; радиус: 65,6201188660917
угол: 99; радиус: 65,7647321898295
угол: 100; радиус: 64,9384323802169
угол: 101; радиус: 65,1152823843988
угол: 102; радиус: 64,8170502260015
угол: 103; радиус: 64,5368112010502
угол: 104; радиус: 65
угол: 105; радиус: 64,2884126417817
угол: 106; радиус: 64,5600495662759
угол: 107; радиус: 63,8905313798532
угол: 108; радиус: 64,1950153828161
угол: 109; радиус: 64,5135644651572
угол: 110; радиус: 63,9061812346818
угол: 111; радиус: 64,2572953056694
угол: 112; радиус: 64,621977685614
угол: 113; радиус: 64,0780773744032
угол: 114; радиус: 64,4748012792595
угол: 115; радиус: 64,8845127900333
угол: 116; радиус: 64,4049687524185
угол: 117; радиус: 64,8459713474939
угол: 118; радиус: 64,8556088553642
угол: 119; радиус: 64,8845127900333
угол: 120; радиус: 65,8634952003004
угол: 121; радиус: 65,5133574166368
угол: 122; радиус: 66,0378679243962
угол: 123; радиус: 66,573267908373
угол: 124; радиус: 66,2872536767062
угол: 125; радиус: 66,8505796534331
угол: 126; радиус: 67,0167889412795
угол: 127; радиус: 67,2011904656458
угол: 128; радиус: 68,4105255059483
угол: 129; радиус: 68,2495421230062
угол: 130; радиус: 68,8839603971781
угол: 131; радиус: 69,4262198308391
угол: 132; радиус: 70,0927956355002
угол: 133; радиус: 70,7672240518165
угол: 134; радиус: 70,7248188403477
угол: 135; радиус: 72,1248916810278
угол: 136; радиус: 72,1387551874857
угол: 137; радиус: 72,8628849277875
угол: 138; радиус: 73,6613874428116
угол: 139; радиус: 74,4110206891425
угол: 140; радиус: 75,2861208988748
угол: 141; радиус: 75,4320886625844
угол: 142; радиус: 74,8131004570724
угол: 143; радиус: 73,6002717386288
угол: 144; радиус: 73,0068489937759
угол: 145; радиус: 71,8470597867442
угол: 146; радиус: 71,2811335487869
угол: 147; радиус: 70,178344238091
угол: 148; радиус: 69,6419413859206
угол: 149; радиус: 68,60029154457
угол: 150; радиус: 68,0955211449329
угол: 151; радиус: 67,6017751246223
угол: 152; радиус: 66,6483308118065
угол: 153; радиус: 66,1891229734916
угол: 154; радиус: 65,7419196555744
угол: 155; радиус: 64,8845127900333
угол: 156; радиус: 64,4748012792595
угол: 157; радиус: 64,0780773744032
угол: 158; радиус: 63,6945837571767
угол: 159; радиус: 63,3245607959503
угол: 160; радиус: 62,6258732474047
угол: 161; радиус: 62,2976725086901
угол: 162; радиус: 61,9838688692469
угол: 163; радиус: 61,6846820531645
угол: 164; радиус: 61,400325732035
угол: 165; радиус: 61,1310068623117
угол: 166; радиус: 60,8769250208977
угол: 167; радиус: 60,6382717431821
угол: 168; радиус: 60,4152298679729
угол: 169; радиус: 60,0166643524946
угол: 170; радиус: 59,8414572015087
угол: 171; радиус: 59,6824932455071
угол: 172; радиус: 59,5399025864168
угол: 173; радиус: 59,4138031100518
