угол: 0; радиус: 61
угол: 1; радиус: 61,0081961706786
угол: 2; радиус: 61,0327780786685
угол: 3; радиус: 61,0737259384099
угол: 4; радиус: 61,1310068623117
угол: 5; радиус: 61,2045749923974
угол: 6; радиус: 61,2943716828878
угол: 7; радиус: 61,400325732035
угол: 8; радиус: 60,5309838016862
угол: 9; радиус: 60,6712452484701
угол: 10; радиус: 61
угол: 11; радиус: 61,1882341631134
угол: 12; радиус: 61,3921819126833
угол: 13; радиус: 60,6382717431821
угол: 14; радиус: 60,8769250208977
угол: 15; радиус: 61,1310068623117
угол: 16; радиус: 61,400325732035
угол: 17; радиус: 60,7289058027559
угол: 18; радиус: 61,0327780786685
угол: 19; радиус: 61,3514466007119
угол: 20; радиус: 60,7453701939498
угол: 21; радиус: 61,0982814815605
угол: 22; радиус: 61,4654374425172
угол: 23; радиус: 60,9261848469113
угол: 24; радиус: 61,3269924258479
угол: 25; радиус: 60,8358446970205
угол: 26; радиус: 61,2698947281616
угол: 27; радиус: 60,8276253029822
угол: 28; радиус: 61,2943716828878
угол: 29; радиус: 61,0941895764237
угол: 30; радиус: 60,9015599143405
угол: 31; радиус: 60,9692545468616
угол: 32; радиус: 61,057350089895
угол: 33; радиус: 61,1657583947097
угол: 34; радиус: 61,2943716828878
угол: 35; радиус: 61,0327780786685
угол: 36; радиус: 61,6116872029975
угол: 37; радиус: 61,400325732035
угол: 38; радиус: 61,2209114600559
угол: 39; радиус: 61,1432743643976
угол: 40; радиус: 61,0737259384099
угол: 41; радиус: 61,3371828502092
угол: 42; радиус: 61,6198020120156
угол: 43; радиус: 61,5548535860496
угол: 44; радиус: 61,5223536610881
угол: 45; радиус: 61,5182899632296
угол: 46; радиус: 61,5223536610881
угол: 47; радиус: 61,5548535860496
угол: 48; радиус: 61,6198020120156
угол: 49; радиус: 61,6644143732834
угол: 50; радиус: 61,7170964968379
угол: 51; радиус: 61,8465843842649
угол: 52; радиус: 61,2209114600559
угол: 53; радиус: 61,400325732035
угол: 54; радиус: 61,6116872029975
угол: 55; радиус: 61,729247524978
угол: 56; радиус: 61,8546683767685
угол: 57; радиус: 62,1288982680363
угол: 58; радиус: 61,5873363606513
угол: 59; радиус: 61,9112267686564
угол: 60; радиус: 61,400325732035
угол: 61; радиус: 61,773780845922
угол: 62; радиус: 62,1771662268393
угол: 63; радиус: 61,7170964968379
угол: 64; радиус: 62,1691241694782
угол: 65; радиус: 61,7413961617325
угол: 66; радиус: 62,2414652783817
угол: 67; радиус: 61,8465843842649
угол: 68; радиус: 61,4654374425172
угол: 69; радиус: 62,0322496770833
угол: 70; радиус: 61,6846820531645
угол: 71; радиус: 61,3514466007119
угол: 72; радиус: 61,9838688692469
угол: 73; радиус: 61,6846820531645
угол: 74; радиус: 61,400325732035
угол: 75; радиус: 62,0966987850401
угол: 76; радиус: 61,8465843842649
угол: 77; радиус: 61,6116872029975
угол: 78; радиус: 62,3698645180507
угол: 79; радиус: 62,1691241694782
угол: 80; радиус: 61,9838688692469
угол: 81; радиус: 61,8142378421024
угол: 82; радиус: 61,660360037872
угол: 83; радиус: 61,5223536610881
угол: 84; радиус: 62,393909959226
угол: 85; радиус: 62,2012861603359
угол: 86; радиус: 62,1288982680363
угол: 87; радиус: 62,072538211354
угол: 88; радиус: 62,0322496770833
угол: 89; радиус: 62,00806399171
угол: 90; радиус: 62
угол: 91; радиус: 62,00806399171
угол: 92; радиус: 62,0322496770833
угол: 93; радиус: 62,072538211354
угол: 94; радиус: 62,1288982680363
угол: 95; радиус: 62,2012861603359
угол: 96; радиус: 62,2896460095897
угол: 97; радиус: 61,5223536610881
угол: 98; радиус: 61,660360037872
угол: 99; радиус: 61,8142378421024
угол: 100; радиус: 61,9838688692469
угол: 101; радиус: 62,1691241694782
угол: 102; радиус: 62,3698645180507
угол: 103; радиус: 61,6116872029975
угол: 104; радиус: 61,8465843842649
угол: 105; радиус: 62,0966987850401
угол: 106; радиус: 61,400325732035
угол: 107; радиус: 61,6846820531645
угол: 108; радиус: 61,9838688692469
угол: 109; радиус: 61,3514466007119
угол: 110; радиус: 61,6846820531645
угол: 111; радиус: 62,0322496770833
угол: 112; радиус: 61,4654374425172
угол: 113; радиус: 61,8465843842649
угол: 114; радиус: 62,2414652783817
угол: 115; радиус: 61,7413961617325
угол: 116; радиус: 62,1691241694782
угол: 117; радиус: 61,7170964968379
угол: 118; радиус: 62,1771662268393
угол: 119; радиус: 61,773780845922
угол: 120; радиус: 61,400325732035
угол: 121; радиус: 61,9112267686564
угол: 122; радиус: 61,5873363606513
угол: 123; радиус: 62,1288982680363
угол: 124; радиус: 61,8546683767685
угол: 125; радиус: 61,729247524978
угол: 126; радиус: 61,6116872029975
угол: 127; радиус: 61,400325732035
угол: 128; радиус: 61,2209114600559
угол: 129; радиус: 61,8465843842649
угол: 130; радиус: 61,7170964968379
угол: 131; радиус: 61,6644143732834
угол: 132; радиус: 61,6198020120156
угол: 133; радиус: 61,5548535860496
угол: 134; радиус: 61,5223536610881
угол: 135; радиус: 61,5182899632296
угол: 136; радиус: 61,5223536610881
угол: 137; радиус: 61,5548535860496
угол: 138; радиус: 61,6198020120156
угол: 139; радиус: 61,3371828502092
угол: 140; радиус: 61,0737259384099
угол: 141; радиус: 61,1432743643976
угол: 142; радиус: 61,2209114600559
угол: 143; радиус: 61,400325732035
угол: 144; радиус: 61,6116872029975
угол: 145; радиус: 61,0327780786685
угол: 146; радиус: 61,2943716828878
угол: 147; радиус: 61,1657583947097
угол: 148; радиус: 61,057350089895
угол: 149; радиус: 60,9692545468616
угол: 150; радиус: 60,9015599143405
угол: 151; радиус: 61,0941895764237
угол: 152; радиус: 61,2943716828878
угол: 153; радиус: 60,8276253029822
угол: 154; радиус: 61,2698947281616
угол: 155; радиус: 60,8358446970205
угол: 156; радиус: 61,3269924258479
угол: 157; радиус: 60,9261848469113
угол: 158; радиус: 61,4654374425172
угол: 159; радиус: 61,0982814815605
угол: 160; радиус: 60,7453701939498
угол: 161; радиус: 61,3514466007119
угол: 162; радиус: 61,0327780786685
угол: 163; радиус: 60,7289058027559
угол: 164; радиус: 61,400325732035
угол: 165; радиус: 61,1310068623117
угол: 166; радиус: 60,8769250208977
угол: 167; радиус: 60,6382717431821
угол: 168; радиус: 61,3921819126833
угол: 169; радиус: 61,1882341631134
угол: 170; радиус: 61
угол: 171; радиус: 60,6712452484701
угол: 172; радиус: 60,5309838016862
угол: 173; радиус: 61,400325732035
угол: 174; радиус: 61,2943716828878
угол: 175; радиус: 61,2045749923974
угол: 176; радиус: 61,1310068623117
угол: 177; радиус: 61,0737259384099
угол: 178; радиус: 61,0327780786685
угол: 179; радиус: 61,0081961706786
угол: 180; радиус: 61
угол: 181; радиус: 61,0081961706786
угол: 182; радиус: 61,0327780786685
угол: 183; радиус: 61,0737259384099
угол: 184; радиус: 61,1310068623117
угол: 185; радиус: 61,2045749923974
угол: 186; радиус: 61,2943716828878
угол: 187; радиус: 61,400325732035
угол: 188; радиус: 60,5309838016862
угол: 189; радиус: 60,8276253029822
угол: 190; радиус: 61
угол: 191; радиус: 61,1882341631134
угол: 192; радиус: 61,3921819126833
угол: 193; радиус: 60,6382717431821
