угол: 0; радиус: 84
угол: 1; радиус: 84,0059521700695
угол: 2; радиус: 83,0541991713845
угол: 3; радиус: 81,0987052917616
угол: 4; радиус: 79,1580697086532
угол: 5; радиус: 74,2428447730823
угол: 6; радиус: 72,3394774656273
угол: 7; радиус: 69,462219947249
угол: 8; радиус: 66,6108099335236
угол: 9; радиус: 62,8012738724303
угол: 10; радиус: 61
угол: 11; радиус: 60,0166643524946
угол: 12; радиус: 58,2494635168428
угол: 13; радиус: 56,5154846037792
угол: 14; радиус: 55,5427763079953
угол: 15; радиус: 52,8866712887094
угол: 16; радиус: 51,9230199429887
угол: 17; радиус: 50,2891638427206
угол: 18; радиус: 49,335585534176
угол: 19; радиус: 47,5946425556491
угол: 20; радиус: 46,8187996428785
угол: 21; радиус: 46,5241872578125
угол: 22; радиус: 45,3100430368368
угол: 23; радиус: 43,4626276242015
угол: 24; радиус: 43,6606229914325
угол: 25; радиус: 42,9534631898291
угол: 26; радиус: 41,146081222882
угол: 27; радиус: 40,9206549312202
угол: 28; радиус: 40,7062648740952
угол: 29; радиус: 38,9486841883009
угол: 30; радиус: 38,7620948866286
угол: 31; радиус: 38,5875627631495
угол: 32; радиус: 37,7359245282264
угол: 33; радиус: 36,8917334913934
угол: 34; радиус: 36,7491496500259
угол: 35; радиус: 36,6196668472011
угол: 36; радиус: 35,8050275799363
угол: 37; радиус: 35
угол: 38; радиус: 34,9070193514141
угол: 39; радиус: 34,828149534536
угол: 40; радиус: 34,0587727318528
угол: 41; радиус: 33,3016516106934
угол: 42; радиус: 33,2749488688145
угол: 43; радиус: 33,2549077413979
угол: 44; радиус: 33,2415402771893
угол: 45; радиус: 32,5269119345812
угол: 46; радиус: 31,8276609256791
угол: 47; радиус: 31,8416219575713
угол: 48; радиус: 31,8625520356142
угол: 49; радиус: 31,890437438204
угол: 50; радиус: 32,649655434629
угол: 51; радиус: 33,4215499341368
угол: 52; радиус: 33,5037311355019
угол: 53; радиус: 33,6005952328229
угол: 54; радиус: 34,4093010681705
угол: 55; радиус: 35,2278299076171
угол: 56; радиус: 35,3160335006951
угол: 57; радиус: 35,410293544235
угол: 58; радиус: 35,5105618091294
угол: 59; радиус: 37,2155881318568
угол: 60; радиус: 36,9628191565524
угол: 61; радиус: 37,589892258425
угол: 62; радиус: 38,4707681233427
угол: 63; радиус: 39,3573373083089
угол: 64; радиус: 39,5790348543266
угол: 65; радиус: 39,8120584747888
угол: 66; радиус: 41,6293165929973
угол: 67; радиус: 42,3467826404793
угол: 68; радиус: 43,081318457076
угол: 69; радиус: 44,0113621693308
угол: 70; радиус: 44,5982062419555
угол: 71; радиус: 45,5411901469428
угол: 72; радиус: 47,2784306000104
угол: 73; радиус: 48,0832611206852
угол: 74; радиус: 48,9004089962446
угол: 75; радиус: 50,6951674225463
угол: 76; радиус: 52,5095229458429
угол: 77; радиус: 53,3666562565053
угол: 78; радиус: 55,1089829338194
угол: 79; радиус: 57,0701322935211
угол: 80; радиус: 58,8557558782486
угол: 81; радиус: 60,8276253029822
угол: 82; радиус: 62,6498204307083
угол: 83; радиус: 65,4904573201318
угол: 84; радиус: 68,3593446428504
угол: 85; радиус: 71,2530701092942
угол: 86; радиус: 74,1687265631546
угол: 87; радиус: 77,1038261048049
угол: 88; радиус: 80,0562302385017
угол: 89; радиус: 83,0240928887513
угол: 90; радиус: 86
угол: 91; радиус: 86,0058137569781
угол: 92; радиус: 85,0529246998597
угол: 93; радиус: 82,1522975941635
угол: 94; радиус: 77,2334124585985
угол: 95; радиус: 74,3303437365925
угол: 96; радиус: 71,449282711585
угол: 97; радиус: 69,5844810284592
угол: 98; радиус: 67,6017751246223
угол: 99; радиус: 65,7647321898295
угол: 100; радиус: 61,9838688692469
угол: 101; радиус: 61,1882341631134
угол: 102; радиус: 59,2283715798434
угол: 103; радиус: 58,4636639289739
угол: 104; радиус: 55,6619259458384
угол: 105; радиус: 54,817880294663
угол: 106; радиус: 53,160135440008
угол: 107; радиус: 52,2015325445527
угол: 108; радиус: 49,4898979590785
угол: 109; радиус: 48,7031826475437
угол: 110; радиус: 47,7598157450382
угол: 111; радиус: 47,169905660283
угол: 112; радиус: 46,2385120867876
угол: 113; радиус: 45,0388720995542
угол: 114; радиус: 44,7772263544762
угол: 115; радиус: 42,9534631898291
угол: 116; радиус: 42,7141662683471
угол: 117; радиус: 42,485291572496
угол: 118; радиус: 40,7062648740952
угол: 119; радиус: 40,5030863021573
угол: 120; радиус: 40,3112887414927
угол: 121; радиус: 38,5875627631495
угол: 122; радиус: 38,4252521136817
угол: 123; радиус: 38,2753184180093
угол: 124; радиус: 37,4432904536981
угол: 125; радиус: 36,6196668472011
угол: 126; радиус: 36,503424496888
угол: 127; радиус: 36,4005494464026
угол: 128; радиус: 35,6089876295297
угол: 129; радиус: 34,828149534536
угол: 130; радиус: 34,7634865915374
угол: 131; радиус: 34,7131099154196
угол: 132; радиус: 34,3402096673856
угол: 133; радиус: 33,9705755029261
угол: 134; радиус: 33,2415402771893
угол: 135; радиус: 33,2340187157677
угол: 136; радиус: 33,2415402771893
угол: 137; радиус: 33,9705755029261
угол: 138; радиус: 34,3402096673856
угол: 139; радиус: 34,7131099154196
угол: 140; радиус: 34,7634865915374
угол: 141; радиус: 34,828149534536
угол: 142; радиус: 35,6089876295297
угол: 143; радиус: 36,4005494464026
угол: 144; радиус: 36,503424496888
угол: 145; радиус: 36,6196668472011
угол: 146; радиус: 37,4432904536981
угол: 147; радиус: 38,2753184180093
угол: 148; радиус: 38,4252521136817
угол: 149; радиус: 38,5875627631495
угол: 150; радиус: 39,446165846632
угол: 151; радиус: 40,5030863021573
угол: 152; радиус: 40,7062648740952
угол: 153; радиус: 42,485291572496
угол: 154; радиус: 42,2640509180083
угол: 155; радиус: 42,9534631898291
угол: 156; радиус: 44,7772263544762
угол: 157; радиус: 44,5785823013698
угол: 158; радиус: 45,3100430368368
угол: 159; радиус: 47,169905660283
угол: 160; радиус: 47,7598157450382
угол: 161; радиус: 49,6487663492256
угол: 162; радиус: 49,9649877414175
угол: 163; радиус: 51,2445119012758
угол: 164; радиус: 53,160135440008
угол: 165; радиус: 54,817880294663
угол: 166; радиус: 56,1471281545192
угол: 167; радиус: 58,4636639289739
угол: 168; радиус: 59,2283715798434
угол: 169; радиус: 61,1882341631134
угол: 170; радиус: 62,9682459657247
угол: 171; радиус: 65,7647321898295
угол: 172; радиус: 68,5930025585701
угол: 173; радиус: 70,4556598152341
угол: 174; радиус: 72,4430811050993
угол: 175; радиус: 75,3259583410659
угол: 176; радиус: 80,156097709407
угол: 177; радиус: 84,0951841665146
угол: 178; радиус: 85,0529246998597
угол: 179; радиус: 86,0058137569781
угол: 180; радиус: 86
угол: 181; радиус: 83,0240928887513
угол: 182; радиус: 81,0555365166378
угол: 183; радиус: 76,1051903617618
угол: 184; радиус: 75,1664818918645
угол: 185; радиус: 70,2566722810012
угол: 186; радиус: 69,3541635375988
угол: 187; радиус: 64,4980619863884
угол: 188; радиус: 63,6396103067893
угол: 189; радиус: 60,8276253029822
угол: 190; радиус: 59,8414572015087
угол: 191; радиус: 56,0892146495206
угол: 192; радиус: 55,1089829338194
угол: 193; радиус: 52,3927475897189
угол: 194; радиус: 52,0240329078783
угол: 195; радиус: 50,6951674225463
угол: 196; радиус: 48,4200371747069
угол: 197; радиус: 47,1274866717927
угол: 198; радиус: 47,7545809320949
угол: 199; радиус: 46,4865571966778
угол: 200; радиус: 44,5982062419555
угол: 201; радиус: 44,0113621693308
угол: 202; радиус: 42,154477816716
угол: 203; радиус: 42,3467826404793
угол: 204; радиус: 41,6293165929973
угол: 205; радиус: 39,8120584747888
угол: 206; радиус: 40,0281151192509
угол: 207; радиус: 39,3573373083089
угол: 208; радиус: 38,4707681233427
угол: 209; радиус: 37,589892258425
угол: 210; радиус: 37,3965239026303
угол: 211; радиус: 37,2155881318568
угол: 212; радиус: 35,5105618091294
угол: 213; радиус: 35,9706670620506
угол: 214; радиус: 35,5933826558939
угол: 215; радиус: 35,2278299076171
угол: 216; радиус: 34,4093010681705
угол: 217; радиус: 33,6005952328229
угол: 218; радиус: 33,5037311355019
угол: 219; радиус: 33,4215499341368
угол: 220; радиус: 32,649655434629
угол: 221; радиус: 31,890437438204
угол: 222; радиус: 31,8625520356142
угол: 223; радиус: 31,8416219575713
угол: 224; радиус: 31,8276609256791
угол: 225; радиус: 32,5269119345812
угол: 226; радиус: 33,2415402771893
угол: 227; радиус: 33,2549077413979
угол: 228; радиус: 33,2749488688145
угол: 229; радиус: 33,3016516106934
угол: 230; радиус: 34,0587727318528
угол: 231; радиус: 34,828149534536
угол: 232; радиус: 34,9070193514141
угол: 233; радиус: 35
угол: 234; радиус: 35,8050275799363
угол: 235; радиус: 36,6196668472011
угол: 236; радиус: 36,7491496500259
угол: 237; радиус: 36,8917334913934
угол: 238; радиус: 37,7359245282264
угол: 239; радиус: 38,5875627631495
угол: 240; радиус: 38,7620948866286
угол: 241; радиус: 38,9486841883009
угол: 242; радиус: 40,7062648740952
угол: 243; радиус: 40,4753011106774
угол: 244; радиус: 41,146081222882
