угол: 0; радиус: 105
угол: 1; радиус: 105,019045891686
угол: 2; радиус: 104,076894650062
угол: 3; радиус: 102,176318195558
угол: 4; радиус: 102,239913927976
угол: 5; радиус: 101,400197238467
угол: 6; радиус: 99,6092365195116
угол: 7; радиус: 99,724620831568
угол: 8; радиус: 98,9949493661167
угол: 9; радиус: 97,3242004847715
угол: 10; радиус: 97,4935895328508
угол: 11; радиус: 95,9009906101079
угол: 12; радиус: 96,1041102138717
угол: 13; радиус: 95,5667306126981
угол: 14; радиус: 94,8314293892062
угол: 15; радиус: 94,3716058992322
угол: 16; радиус: 93,680307429043
угол: 17; радиус: 93,3005894943864
угол: 18; радиус: 92,655275079188
угол: 19; радиус: 92,9731143933557
угол: 20; радиус: 92,6984358012583
угол: 21; радиус: 92,1140597303148
угол: 22; радиус: 91,9238815542512
угол: 23; радиус: 91,3892772703669
угол: 24; радиус: 91,7877987534291
угол: 25; радиус: 90,8019823572151
угол: 26; радиус: 91,2359578236563
угол: 27; радиус: 91,2414379544733
угол: 28; радиус: 90,8240056372763
угол: 29; радиус: 90,4267659490264
угол: 30; радиус: 90,9175450614457
угол: 31; радиус: 90,5538513813742
угол: 32; радиус: 90,7358804442873
угол: 33; радиус: 90,4267659490264
угол: 34; радиус: 90,6972987469859
угол: 35; радиус: 90,4433524367601
угол: 36; радиус: 90,8019823572151
угол: 37; радиус: 91,4002188181188
угол: 38; радиус: 91,214034007931
угол: 39; радиус: 91,6787870774914
угол: 40; радиус: 91,5478017212866
угол: 41; радиус: 92,1954445729289
угол: 42; радиус: 92,0217365626187
угол: 43; радиус: 92,6984358012583
угол: 44; радиус: 92,655275079188
угол: 45; радиус: 93,3380951166243
угол: 46; радиус: 93,3488082409197
угол: 47; радиус: 94,1116358374457
угол: 48; радиус: 94,9210198006743
угол: 49; радиус: 95,0157881617576
угол: 50; радиус: 95,7757798193259
угол: 51; радиус: 95,9009906101079
угол: 52; радиус: 96,8297474952816
угол: 53; радиус: 97,0051545022222
угол: 54; радиус: 98,0051019080129
угол: 55; радиус: 98,2293235240883
угол: 56; радиус: 100,124921972504
угол: 57; радиус: 100,404183179786
угол: 58; радиус: 100,702532242243
угол: 59; радиус: 102,215458713445
угол: 60; радиус: 101,21264743104
угол: 61; радиус: 100,239712689133
угол: 62; радиус: 99,2975326984513
угол: 63; радиус: 98,8382517044894
угол: 64; радиус: 97,5089739459912
угол: 65; радиус: 97,082439194738
угол: 66; радиус: 96,2548700066651
угол: 67; радиус: 95,4620343382645
угол: 68; радиус: 94,7048045243746
угол: 69; радиус: 93,9840411984928
угол: 70; радиус: 93,637599285757
угол: 71; радиус: 92,9731143933557
угол: 72; радиус: 92,3471710449216
угол: 73; радиус: 92,0489000477464
угол: 74; радиус: 91,4822387133153
угол: 75; радиус: 90,9560333347931
угол: 76; радиус: 90,7083237635885
угол: 77; радиус: 90,2441133814278
угол: 78; радиус: 89,8220462915425
угол: 79; радиус: 89,6270048590267
угол: 80; радиус: 89,2692556258872
угол: 81; радиус: 89,1066776397819
угол: 82; радиус: 88,8144132446981
угол: 83; радиус: 88,684835231284
угол: 84; радиус: 88,4590300647707
угол: 85; радиус: 88,2779700718135
угол: 86; радиус: 88,2043082847998
угол: 87; радиус: 88,090862182181
угол: 88; радиус: 88,0511215147201
угол: 89; радиус: 88,0056816347672
угол: 90; радиус: 88
угол: 91; радиус: 88,0227243386615
угол: 92; радиус: 88,0511215147201
угол: 93; радиус: 88,1419309976812
